         1190349 function calls (1189924 primitive calls) in 66.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    83/82    0.002    0.000   66.129    0.806 /usr/lib/python3.13/asyncio/base_events.py:1960(_run_once)
       82    0.000    0.000   65.635    0.800 /usr/lib/python3.13/selectors.py:435(select)
       82   57.300    0.699   57.300    0.699 {method 'poll' of 'select.epoll' objects}
       21    0.000    0.000    8.334    0.397 /usr/lib/python3.13/concurrent/futures/thread.py:54(run)
       21    0.000    0.000    8.333    0.397 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/api.py:62(get)
       21    0.000    0.000    8.332    0.397 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/api.py:14(request)
       21    0.000    0.000    8.330    0.397 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:500(request)
    38/21    0.001    0.000    8.316    0.396 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:673(send)
       38    0.001    0.000    8.241    0.217 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/adapters.py:613(send)
       38    0.001    0.000    8.227    0.216 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:592(urlopen)
       38    0.001    0.000    8.222    0.216 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:377(_make_request)
       24    0.000    0.000    5.821    0.243 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
       24    0.001    0.000    5.820    0.242 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:669(connect)
       38    0.000    0.000    5.466    0.144 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:192(_new_conn)
       38    0.001    0.000    5.464    0.144 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/util/connection.py:27(create_connection)
       38    5.287    0.139    5.287    0.139 {method 'connect' of '_socket.socket' objects}
    55/38    0.001    0.000    1.954    0.051 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:159(resolve_redirects)
      260    0.001    0.000    1.910    0.007 /usr/lib/python3.13/socket.py:706(readinto)
      757    0.001    0.000    1.908    0.003 {method 'readline' of '_io.BufferedReader' objects}
       38    0.001    0.000    1.883    0.050 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:485(getresponse)
       38    0.000    0.000    1.876    0.049 /usr/lib/python3.13/http/client.py:1386(getresponse)
       38    0.001    0.000    1.875    0.049 /usr/lib/python3.13/http/client.py:324(begin)
       38    0.001    0.000    1.861    0.049 /usr/lib/python3.13/http/client.py:291(_read_status)
      246    0.001    0.000    1.274    0.005 /usr/lib/python3.13/ssl.py:1289(recv_into)
      246    0.000    0.000    1.273    0.005 /usr/lib/python3.13/ssl.py:1129(read)
      246    1.273    0.005    1.273    0.005 {method 'read' of '_ssl._SSLSocket' objects}
       24    0.001    0.000    0.859    0.036 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
       24    0.000    0.000    0.858    0.036 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/util/ssl_.py:390(ssl_wrap_socket)
       24    0.000    0.000    0.857    0.036 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/util/ssl_.py:488(_ssl_wrap_socket_impl)
       24    0.000    0.000    0.857    0.036 /usr/lib/python3.13/ssl.py:449(wrap_socket)
       24    0.001    0.000    0.857    0.036 /usr/lib/python3.13/ssl.py:990(_create)
       24    0.000    0.000    0.854    0.036 /usr/lib/python3.13/ssl.py:1365(do_handshake)
       24    0.854    0.036    0.854    0.036 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       14    0.635    0.045    0.635    0.045 {method 'recv_into' of '_socket.socket' objects}
       38    0.001    0.000    0.517    0.014 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:369(request)
       38    0.000    0.000    0.510    0.013 /usr/lib/python3.13/http/client.py:1322(endheaders)
       38    0.000    0.000    0.510    0.013 /usr/lib/python3.13/http/client.py:1084(_send_output)
       38    0.000    0.000    0.509    0.013 /usr/lib/python3.13/http/client.py:1029(send)
       14    0.000    0.000    0.507    0.036 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:275(connect)
1141/1140    0.001    0.000    0.489    0.000 /usr/lib/python3.13/asyncio/events.py:87(_run)
1141/1140    0.001    0.000    0.489    0.000 {method 'run' of '_contextvars.Context' objects}
    38/37    0.000    0.000    0.482    0.013 /home/guilherme13c/projects/simple-search-engine/crawler/main.py:38(begin)
    47/46    0.001    0.000    0.480    0.010 /home/guilherme13c/projects/simple-search-engine/crawler/main.py:78(_fetch_page)
        8    0.000    0.000    0.358    0.045 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:209(__init__)
        8    0.000    0.000    0.357    0.045 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:650(_feed)
        8    0.000    0.000    0.357    0.045 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:449(feed)
        8    0.000    0.000    0.357    0.045 /usr/lib/python3.13/html/parser.py:104(feed)
       16    0.027    0.002    0.357    0.022 /usr/lib/python3.13/html/parser.py:134(goahead)
     5322    0.028    0.000    0.199    0.000 /usr/lib/python3.13/html/parser.py:301(parse_starttag)
       38    0.000    0.000    0.176    0.005 /usr/lib/python3.13/socket.py:960(getaddrinfo)
       38    0.174    0.005    0.174    0.005 {built-in method _socket.getaddrinfo}
     5322    0.011    0.000    0.131    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     5322    0.015    0.000    0.114    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:987(handle_starttag)
    12828    0.029    0.000    0.100    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:826(endData)
     4273    0.009    0.000    0.067    0.000 /usr/lib/python3.13/html/parser.py:379(parse_endtag)
      100    0.000    0.000    0.060    0.001 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/models.py:890(content)
      401    0.000    0.000    0.060    0.000 {method 'join' of 'bytes' objects}
      132    0.000    0.000    0.059    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/models.py:816(generate)
      132    0.000    0.000    0.059    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:1044(stream)
       91    0.000    0.000    0.057    0.001 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:1173(read_chunked)
     5319    0.004    0.000    0.056    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
       40    0.000    0.000    0.055    0.001 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:2715(find_all)
       40    0.000    0.000    0.055    0.001 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:1079(_find_all)
       40    0.001    0.000    0.054    0.001 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:163(find_all)
     1359    0.011    0.000    0.053    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:129(filter)
     5214    0.004    0.000    0.051    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:1053(handle_endtag)
       99    0.000    0.000    0.047    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:1133(_update_chunk_length)
       26    0.000    0.000    0.047    0.002 /home/guilherme13c/projects/simple-search-engine/crawler/main.py:65(_fetch_robots_txt)
       13    0.008    0.001    0.045    0.003 /usr/lib/python3.13/urllib/robotparser.py:83(parse)
     5330    0.011    0.000    0.040    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:1618(__init__)
     3090    0.003    0.000    0.031    0.000 /usr/lib/python3.13/urllib/robotparser.py:220(__init__)
    10882    0.013    0.000    0.031    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:867(object_was_parsed)
    32321    0.010    0.000    0.031    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:717(match)
        8    0.000    0.000    0.030    0.004 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:2232(__call__)
    38797    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
     1133    0.002    0.000    0.023    0.000 /usr/lib/python3.13/_markupbase.py:165(parse_comment)
    10882    0.012    0.000    0.022    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:1291(__new__)
     5322    0.016    0.000    0.022    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     1134    0.001    0.000    0.020    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
    21557    0.011    0.000    0.018    0.000 /usr/lib/python3.13/_markupbase.py:44(updatepos)
    27094    0.017    0.000    0.017    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:376(setup)
150002/149848    0.015    0.000    0.016    0.000 {built-in method builtins.isinstance}
    10882    0.010    0.000    0.016    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:732(string_container)
    10407    0.007    0.000    0.016    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:538(matches_tag)
     5214    0.007    0.000    0.014    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:950(_popToTag)
32622/32600    0.006    0.000    0.014    0.000 {built-in method builtins.next}
     5322    0.004    0.000    0.013    0.000 /usr/lib/python3.13/html/parser.py:345(check_for_whole_start_tag)
      102    0.004    0.000    0.013    0.000 /usr/lib/python3.13/urllib/request.py:2495(getproxies_environment)
       38    0.000    0.000    0.012    0.000 /usr/lib/python3.13/http/client.py:245(parse_headers)
       41    0.000    0.000    0.011    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/utils.py:826(get_environ_proxies)
     3599    0.006    0.000    0.011    0.000 /usr/lib/python3.13/urllib/parse.py:374(urlparse)
       38    0.000    0.000    0.011    0.000 /usr/lib/python3.13/http/client.py:231(_parse_header_lines)
        8    0.001    0.000    0.010    0.001 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:524(get_text)
       38    0.000    0.000    0.010    0.000 /usr/lib/python3.13/email/parser.py:56(parsestr)
     3141    0.003    0.000    0.010    0.000 /usr/lib/python3.13/urllib/parse.py:525(urlunparse)
       38    0.000    0.000    0.010    0.000 /usr/lib/python3.13/email/parser.py:41(parse)
     3141    0.002    0.000    0.010    0.000 /usr/lib/python3.13/urllib/parse.py:875(quote)
    16597    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
       61    0.000    0.000    0.010    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/utils.py:765(should_bypass_proxies)
       21    0.000    0.000    0.010    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:457(prepare_request)
     9442    0.005    0.000    0.009    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:1873(_all_strings)
       20    0.000    0.000    0.009    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:302(rebuild_proxies)
       20    0.000    0.000    0.009    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/utils.py:864(resolve_proxies)
      312    0.000    0.000    0.009    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
       38    0.000    0.000    0.008    0.000 /usr/lib/python3.13/email/feedparser.py:173(feed)
     9797    0.004    0.000    0.008    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
       61    0.000    0.000    0.008    0.000 /usr/lib/python3.13/urllib/request.py:2532(proxy_bypass_environment)
       76    0.000    0.000    0.008    0.000 /usr/lib/python3.13/email/feedparser.py:178(_call_parse)
     7139    0.007    0.000    0.008    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:906(_linkage_fixer)
       76    0.001    0.000    0.007    0.000 /usr/lib/python3.13/email/feedparser.py:218(_parsegen)
     5330    0.006    0.000    0.007    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:809(pushTag)
    12138    0.003    0.000    0.007    0.000 <frozen os>:734(__iter__)
    47996    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    10029    0.006    0.000    0.007    0.000 /usr/lib/python3.13/urllib/parse.py:119(_coerce_args)
       38    0.000    0.000    0.007    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/adapters.py:446(get_connection_with_tls_context)
     3141    0.004    0.000    0.007    0.000 /usr/lib/python3.13/urllib/parse.py:951(quote_from_bytes)
       21    0.000    0.000    0.007    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:750(merge_environment_settings)
    16682    0.006    0.000    0.007    0.000 /usr/lib/python3.13/typing.py:426(inner)
    47832    0.006    0.000    0.006    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:2763(descendants)
    36042    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
       38    0.000    0.000    0.006    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/poolmanager.py:276(connection_from_host)
       38    0.000    0.000    0.006    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/poolmanager.py:305(connection_from_context)
     5322    0.005    0.000    0.006    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:786(popTag)
    16329    0.003    0.000    0.005    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:321(matches_tag)
       21    0.000    0.000    0.005    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/models.py:351(prepare)
    32287    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
       38    0.000    0.000    0.005    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/adapters.py:359(build_response)
    16303    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
       38    0.000    0.000    0.005    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/poolmanager.py:330(connection_from_pool_key)
    20681    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
       37    0.000    0.000    0.005    0.000 /usr/lib/python3.13/weakref.py:585(__call__)
     3141    0.002    0.000    0.005    0.000 /usr/lib/python3.13/urllib/parse.py:536(urlunsplit)
    10939    0.003    0.000    0.005    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/__init__.py:1065(handle_data)
       37    0.000    0.000    0.005    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:1170(_close_pool_connections)
    12200    0.003    0.000    0.005    0.000 <frozen os>:797(decode)
42762/42735    0.005    0.000    0.005    0.000 {built-in method builtins.len}
       38    0.000    0.000    0.004    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/poolmanager.py:229(_new_pool)
    14869    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7df93bcd7380}
      112    0.000    0.000    0.004    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:469(_decode)
       80    0.000    0.000    0.004    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:1151(_handle_chunk)
       38    0.001    0.000    0.004    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:175(__init__)
      107    0.000    0.000    0.004    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:122(decompress)
      152    0.000    0.000    0.004    0.000 /usr/lib/python3.13/http/client.py:635(_safe_read)
      175    0.000    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
       59    0.001    0.000    0.004    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/util/url.py:367(parse_url)
       83    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       38    0.001    0.000    0.003    0.000 /usr/lib/python3.13/email/feedparser.py:472(_parse_headers)
      113    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
    22674    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
      197    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/structures.py:40(__init__)
      256    0.001    0.000    0.003    0.000 <frozen _collections_abc>:979(update)
      519    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/frontier/frontier.py:11(put)
    17040    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
    13023    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
       21    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/models.py:409(prepare_url)
       41    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/utils.py:204(get_netrc_auth)
    20115    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       37    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:320(close)
       38    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/_collections.py:240(__init__)
      516    0.000    0.000    0.003    0.000 /usr/lib/python3.13/asyncio/taskgroups.py:181(create_task)
    16423    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
       24    0.000    0.000    0.003    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:980(__init__)
     5322    0.002    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:1812(is_empty_element)
8662/8600    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
       97    0.001    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
       38    0.001    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/_collections.py:335(extend)
    17284    0.002    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:259(_base_match)
    24747    0.002    0.000    0.002    0.000 /usr/lib/python3.13/typing.py:2371(cast)
    10149    0.002    0.000    0.002    0.000 {method 'rindex' of 'str' objects}
       42    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/main.py:152(_fetch)
      418    0.001    0.000    0.002    0.000 /usr/lib/python3.13/queue.py:140(put)
       37    0.000    0.000    0.002    0.000 /usr/lib/python3.13/http/client.py:1015(close)
     2757    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      517    0.001    0.000    0.002    0.000 /usr/lib/python3.13/asyncio/base_events.py:461(create_task)
     3599    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
       21    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:390(__init__)
    11908    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
      113    0.000    0.000    0.002    0.000 /usr/lib/python3.13/http/cookiejar.py:1680(extract_cookies)
      445    0.001    0.000    0.002    0.000 /usr/lib/python3.13/queue.py:180(get)
       25    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:916(read)
     1091    0.001    0.000    0.002    0.000 /usr/lib/python3.13/asyncio/base_events.py:823(call_soon)
      190    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:355(putheader)
       37    0.000    0.000    0.002    0.000 /usr/lib/python3.13/socket.py:501(close)
     5330    0.001    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
       38    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:335(putrequest)
       42    0.000    0.000    0.002    0.000 /usr/lib/python3.13/asyncio/threads.py:12(to_thread)
      367    0.000    0.000    0.002    0.000 /usr/lib/python3.13/html/parser.py:123(set_cdata_mode)
      519    0.000    0.000    0.002    0.000 /usr/lib/python3.13/asyncio/queues.py:125(put)
     6232    0.001    0.000    0.002    0.000 /usr/lib/python3.13/html/__init__.py:122(unescape)
      955    0.001    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:612(_attribute_match)
      147    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:61(merge_setting)
     3420    0.001    0.000    0.002    0.000 /usr/lib/python3.13/urllib/parse.py:692(unquote)
